Retrained at 2026-03-28T17:48:37.114537+00:00
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

ok     TATACONSUM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TATAELXSI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TATAPOWER.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TATASTEEL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TCS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TECHM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TITAN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TLT: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TORNTPHARM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TRENT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TSLA: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TSM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     TVSMOTOR.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     UBER: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ULTRACEMCO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     UNIONBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     USDCAD=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
ok     USDCHF=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
ok     USDINR=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
ok     USDJPY=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
ok     V: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     VEDL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     VOLTAS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     WIPRO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     XLE: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     XLF: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     XLK: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     XLV: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     XRP-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ZW=F: 673 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^DJI: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^FTSE: 705 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^GDAXI: 714 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^GSPC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^HSI: 688 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^IXIC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^N225: 686 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^NSEBANK: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^NSEI: 689 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^RUT: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ^VIX: 705 rows, classes=['BUY', 'HOLD', 'SELL']
